TS,HA,Error,
118.0,10.0,1.0533104578266332,
118.0,9.0,-0.05555274694798129,
118.0,8.0,-0.2167407886673871,
118.0,7.0,-0.1274082490900028,
118.0,6.0,-0.1274082490900028,
118.0,5.0,-0.1274082490900028,
118.0,4.0,-0.1274082490900028,
118.0,3.0,-0.1274082490900028,
118.0,2.0,-0.1274082490900028,
118.0,1.0,-0.1274082490900028,
118.0,0.0,-0.1274082490900028,
119.0,10.0,1.4080107894209455,
119.0,9.0,-0.04812168442797571,
119.0,8.0,-0.07991847390955087,
119.0,7.0,-0.07991847390955087,
119.0,6.0,-0.07991847390955087,
119.0,5.0,-0.07991847390955087,
119.0,4.0,-0.07991847390955087,
119.0,3.0,-0.07991847390955087,
119.0,2.0,-0.07991847390955087,
119.0,1.0,-0.07991847390955087,
119.0,0.0,-0.07991847390955087,
120.0,10.0,0.13377784840038487,
120.0,9.0,-0.0503643968337002,
120.0,8.0,-0.44284868811546474,
120.0,7.0,0.7571513118845381,
120.0,6.0,-0.1097709091890735,
120.0,5.0,-0.30907179578411714,
120.0,4.0,0.09035261590474519,
120.0,3.0,0.09035261590474519,
120.0,2.0,0.6427215490474545,
120.0,1.0,-0.1097709091890735,
120.0,0.0,0.6427215490474545,
121.0,10.0,0.1985457799853627,
121.0,9.0,-1.77419335231626,
121.0,8.0,0.513499720309067,
121.0,7.0,-0.9870596720187947,
121.0,6.0,1.2137281071254051,
121.0,5.0,0.21867011963285776,
121.0,4.0,-3.0609217578405676,
121.0,3.0,-2.4205398512203082,
121.0,2.0,0.5247122639044548,
121.0,1.0,-1.2763841256467963,
121.0,0.0,-0.3854428022554117,
122.0,10.0,0.09768963535038466,
122.0,9.0,-1.3284905696753349,
122.0,8.0,-1.2539240146616741,
122.0,7.0,-2.5809860247717857,
122.0,6.0,-0.8541933523162584,
122.0,5.0,-1.3331795143884513,
122.0,4.0,-2.354320349033099,
122.0,3.0,-2.307100253365167,
122.0,2.0,-2.307100253365167,
122.0,1.0,-2.307100253365167,
122.0,0.0,-2.307100253365167,
123.0,10.0,-1.5158581953990904,
123.0,9.0,-6.340381988573267,
123.0,8.0,-3.885414768134776,
123.0,7.0,-2.7284905696753334,
123.0,6.0,-2.065191874450978,
123.0,5.0,1.5864045039075663,
123.0,4.0,0.05970943313331034,
123.0,3.0,0.05970943313331034,
123.0,2.0,0.05970943313331034,
123.0,1.0,0.05970943313331034,
123.0,0.0,0.05970943313331034,
124.0,10.0,-0.056472924645547096,
124.0,9.0,1.8274114386262568,
124.0,8.0,-3.0298397018322802,
124.0,7.0,1.0571583200254366,
124.0,6.0,1.5011505437987864,
124.0,5.0,2.630062824856804,
